               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.026542,            0.010229,           0.0096289,             0.96318,             0.96549,             0.99422,             0.61575,             0.01711,           0.0042493,           0.0025501,            0.006535,            0.006535,            0.006535
                  37,            0.027109,            0.010301,           0.0094409,             0.98906,             0.99802,               0.995,             0.58938,             0.01975,           0.0042405,           0.0011499,            0.006436,            0.006436,            0.006436
                  38,            0.027146,           0.0098826,           0.0084772,             0.98395,             0.99282,               0.995,             0.61958,            0.018718,           0.0046806,           0.0009122,            0.006337,            0.006337,            0.006337
                  39,            0.026595,            0.010137,           0.0090785,               0.984,             0.98896,               0.995,             0.63909,            0.017373,           0.0042364,           0.0013038,            0.006238,            0.006238,            0.006238
                  40,            0.025458,            0.010282,           0.0096109,             0.97622,             0.96807,             0.98134,             0.62167,            0.017946,           0.0042524,           0.0013091,            0.006139,            0.006139,            0.006139
                  41,             0.02495,           0.0097959,           0.0084206,             0.99224,             0.99505,               0.995,             0.63622,             0.01777,           0.0040978,           0.0012981,             0.00604,             0.00604,             0.00604
                  42,            0.025299,           0.0097523,             0.00725,              0.9914,              0.9917,               0.995,              0.6407,            0.016687,           0.0042053,           0.0010497,            0.005941,            0.005941,            0.005941
                  43,            0.024566,            0.010179,           0.0071729,             0.99079,             0.99877,               0.995,             0.65209,            0.016986,           0.0040581,           0.0010647,            0.005842,            0.005842,            0.005842
                  44,            0.026526,           0.0097336,           0.0080021,             0.99342,             0.99573,               0.995,             0.65464,            0.017418,           0.0041047,           0.0011908,            0.005743,            0.005743,            0.005743
                  45,            0.026235,            0.010093,           0.0093025,             0.99418,             0.99435,               0.995,             0.64692,            0.016838,           0.0040652,           0.0012019,            0.005644,            0.005644,            0.005644
                  46,            0.027687,            0.010019,           0.0090835,             0.98973,             0.99914,               0.995,             0.65245,            0.017772,           0.0040728,           0.0010806,            0.005545,            0.005545,            0.005545
                  47,            0.023378,           0.0097396,           0.0074292,             0.98955,             0.99916,               0.995,             0.68757,            0.015625,           0.0039233,           0.0010856,            0.005446,            0.005446,            0.005446
                  48,            0.024501,           0.0099317,           0.0073589,             0.97914,             0.98834,             0.99288,             0.61696,            0.017679,           0.0041744,           0.0017536,            0.005347,            0.005347,            0.005347
                  49,            0.023768,            0.009615,           0.0076833,             0.99203,             0.99357,               0.995,             0.64061,            0.017107,           0.0041409,           0.0010888,            0.005248,            0.005248,            0.005248
                  50,            0.023815,            0.010418,           0.0079208,             0.99113,             0.99245,               0.995,             0.66278,            0.015814,           0.0039544,           0.0010585,            0.005149,            0.005149,            0.005149
                  51,            0.023246,           0.0093597,           0.0058189,             0.99081,             0.99501,               0.995,             0.61965,            0.017975,           0.0041057,          0.00092516,             0.00505,             0.00505,             0.00505
                  52,            0.024541,           0.0096522,           0.0070001,             0.99084,             0.99349,               0.995,             0.60348,             0.01775,            0.004131,           0.0010943,            0.004951,            0.004951,            0.004951
                  53,             0.02526,           0.0093989,           0.0069137,             0.99028,             0.99806,               0.995,             0.62864,            0.017996,           0.0039653,           0.0011065,            0.004852,            0.004852,            0.004852
                  54,            0.024392,           0.0097019,           0.0070961,             0.99199,             0.99196,               0.995,             0.66416,            0.016543,           0.0040398,          0.00097521,            0.004753,            0.004753,            0.004753
                  55,            0.022535,           0.0093966,           0.0068944,             0.99199,               0.993,               0.995,             0.68113,            0.015564,           0.0040103,          0.00084346,            0.004654,            0.004654,            0.004654
                  56,            0.024174,           0.0092017,           0.0057215,             0.99439,             0.99156,               0.995,             0.65187,            0.016961,           0.0039584,          0.00083753,            0.004555,            0.004555,            0.004555
                  57,             0.02299,           0.0091544,           0.0069635,             0.99505,             0.99286,               0.995,             0.64811,            0.016325,           0.0039007,          0.00082356,            0.004456,            0.004456,            0.004456
                  58,            0.023967,           0.0096165,           0.0073028,             0.99353,             0.99165,               0.995,             0.62993,            0.017414,           0.0039572,           0.0008453,            0.004357,            0.004357,            0.004357
                  59,            0.024102,           0.0097563,           0.0074191,             0.99317,             0.99426,               0.995,             0.65628,            0.015968,           0.0039486,           0.0010155,            0.004258,            0.004258,            0.004258
                  60,            0.022491,           0.0096738,            0.006844,             0.99441,             0.99163,               0.995,             0.64158,            0.016899,           0.0039033,          0.00087098,            0.004159,            0.004159,            0.004159
                  61,            0.024075,           0.0094887,           0.0070516,             0.99362,             0.99847,               0.995,             0.67396,            0.016392,           0.0038858,          0.00087536,             0.00406,             0.00406,             0.00406
                  62,            0.023154,           0.0095306,           0.0055879,             0.99364,             0.99785,               0.995,             0.67571,            0.015276,           0.0038759,           0.0007645,            0.003961,            0.003961,            0.003961
                  63,            0.024677,            0.009225,           0.0064889,             0.99277,             0.99778,               0.995,             0.65857,             0.01589,           0.0038682,          0.00068069,            0.003862,            0.003862,            0.003862
                  64,            0.022484,           0.0090387,           0.0060029,             0.99392,              0.9993,               0.995,             0.64527,            0.015863,           0.0038806,          0.00076178,            0.003763,            0.003763,            0.003763
                  65,            0.021342,            0.008903,            0.005045,             0.99537,             0.99532,               0.995,             0.67234,            0.015946,           0.0038146,          0.00069385,            0.003664,            0.003664,            0.003664
                  66,            0.021956,           0.0090625,           0.0062824,             0.99329,             0.99398,               0.995,              0.6638,            0.015543,           0.0038988,          0.00072426,            0.003565,            0.003565,            0.003565
                  67,            0.022343,           0.0091637,           0.0057178,             0.99124,              0.9943,               0.995,              0.6747,            0.015771,           0.0038782,          0.00079424,            0.003466,            0.003466,            0.003466
                  68,            0.021926,           0.0086084,           0.0057123,             0.98892,             0.99827,               0.995,             0.68494,            0.015269,            0.003796,          0.00091301,            0.003367,            0.003367,            0.003367
                  69,            0.021317,           0.0089378,           0.0054217,             0.99242,             0.98932,               0.995,             0.67998,            0.015666,           0.0038851,          0.00094371,            0.003268,            0.003268,            0.003268
                  70,            0.021051,           0.0089423,           0.0068785,             0.99457,             0.98728,               0.995,             0.68197,            0.015125,           0.0038861,          0.00072676,            0.003169,            0.003169,            0.003169
                  71,            0.021147,           0.0089313,           0.0058461,             0.99164,             0.99722,               0.995,             0.68674,            0.015518,           0.0039676,          0.00079231,             0.00307,             0.00307,             0.00307
                  72,            0.021289,           0.0097288,           0.0064241,             0.99046,             0.99872,               0.995,             0.67771,            0.015706,           0.0039313,          0.00094177,            0.002971,            0.002971,            0.002971
                  73,            0.020451,           0.0091528,           0.0048034,             0.98628,                   1,               0.995,             0.67052,            0.016079,           0.0038943,          0.00088218,            0.002872,            0.002872,            0.002872
                  74,            0.022965,           0.0089736,           0.0056291,             0.98995,                   1,               0.995,             0.68319,            0.016029,           0.0038622,          0.00079025,            0.002773,            0.002773,            0.002773
                  75,            0.020001,           0.0085994,           0.0046966,              0.9946,             0.99789,               0.995,             0.68831,            0.016034,            0.003887,          0.00068932,            0.002674,            0.002674,            0.002674
                  76,            0.021849,           0.0089216,           0.0049432,             0.99383,                   1,               0.995,              0.6751,            0.015659,           0.0038997,          0.00055116,            0.002575,            0.002575,            0.002575
                  77,            0.021475,           0.0098755,           0.0053099,             0.99474,                   1,               0.995,             0.66453,             0.01568,           0.0039129,          0.00047392,            0.002476,            0.002476,            0.002476
                  78,            0.019707,           0.0084561,           0.0051215,             0.99478,             0.99939,               0.995,             0.67126,             0.01542,           0.0038418,           0.0005028,            0.002377,            0.002377,            0.002377
                  79,            0.019458,           0.0090491,           0.0050099,             0.99068,             0.99845,               0.995,             0.68378,            0.015198,             0.00384,          0.00055047,            0.002278,            0.002278,            0.002278
                  80,            0.019919,           0.0085686,           0.0046439,             0.99249,              0.9989,               0.995,             0.67558,            0.015711,           0.0038269,          0.00062701,            0.002179,            0.002179,            0.002179
                  81,            0.019534,           0.0086597,           0.0038418,             0.99294,             0.99808,               0.995,             0.67892,            0.015518,           0.0037235,           0.0005738,             0.00208,             0.00208,             0.00208
                  82,            0.020418,           0.0086188,           0.0047408,             0.99334,             0.99851,               0.995,             0.67916,            0.015392,           0.0037733,          0.00051908,            0.001981,            0.001981,            0.001981
                  83,            0.020585,           0.0092055,           0.0049778,             0.99347,                   1,               0.995,             0.68658,            0.014853,           0.0037672,          0.00048722,            0.001882,            0.001882,            0.001882
                  84,            0.020291,           0.0090743,           0.0048471,             0.99338,                   1,               0.995,             0.67936,            0.015331,           0.0037622,          0.00048751,            0.001783,            0.001783,            0.001783
                  85,            0.020383,           0.0089873,           0.0040603,             0.99269,             0.99801,               0.995,              0.6938,            0.015228,           0.0037843,           0.0004993,            0.001684,            0.001684,            0.001684
                  86,            0.019288,           0.0086162,           0.0043185,             0.99316,             0.99744,               0.995,             0.67981,            0.015717,           0.0037894,          0.00046242,            0.001585,            0.001585,            0.001585
                  87,            0.019771,           0.0087258,           0.0038852,             0.99284,             0.99756,               0.995,             0.67906,            0.015631,           0.0037906,          0.00044471,            0.001486,            0.001486,            0.001486
                  88,            0.020344,           0.0087436,           0.0042103,             0.99417,             0.99815,               0.995,             0.68162,            0.015393,            0.003787,          0.00043487,            0.001387,            0.001387,            0.001387
                  89,            0.020185,           0.0083476,           0.0043017,             0.99274,                   1,               0.995,             0.68298,            0.015147,           0.0037646,          0.00042709,            0.001288,            0.001288,            0.001288
                  90,            0.019002,           0.0087727,           0.0038407,             0.99285,             0.99436,               0.995,             0.68519,            0.015018,           0.0037694,          0.00044209,            0.001189,            0.001189,            0.001189
                  91,            0.018786,           0.0087948,           0.0046754,             0.99232,             0.99757,               0.995,             0.68061,             0.01524,           0.0037554,          0.00042806,             0.00109,             0.00109,             0.00109
                  92,            0.018783,           0.0087391,           0.0044218,             0.99327,             0.99908,               0.995,             0.68564,            0.015157,           0.0038029,          0.00044506,            0.000991,            0.000991,            0.000991
                  93,             0.01925,            0.008505,           0.0045739,             0.99348,             0.99983,               0.995,             0.68455,            0.015254,           0.0037949,          0.00044791,            0.000892,            0.000892,            0.000892
                  94,            0.019658,           0.0088029,           0.0036081,              0.9936,                   1,               0.995,             0.70129,            0.015274,           0.0037976,          0.00049492,            0.000793,            0.000793,            0.000793
                  95,            0.018665,            0.008348,           0.0036795,             0.99335,                   1,               0.995,             0.68726,            0.015128,           0.0037813,          0.00046347,            0.000694,            0.000694,            0.000694
                  96,             0.01999,           0.0086689,           0.0051056,             0.99401,                   1,               0.995,             0.67989,             0.01534,           0.0037674,           0.0004501,            0.000595,            0.000595,            0.000595
                  97,            0.019448,           0.0083262,            0.004953,             0.99378,                   1,               0.995,             0.68819,            0.015369,           0.0037801,          0.00044697,            0.000496,            0.000496,            0.000496
                  98,            0.019049,           0.0083606,           0.0038036,             0.99431,                   1,               0.995,             0.69207,            0.015353,            0.003801,          0.00045513,            0.000397,            0.000397,            0.000397
                  99,            0.019624,           0.0084848,           0.0036623,              0.9939,                   1,               0.995,             0.68472,            0.015444,           0.0037999,          0.00045606,            0.000298,            0.000298,            0.000298
